study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	0.0	hr	NA	0.0	1.3075780089153	1.3075780089153	0.266908243393907	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	0.25	hr	NA	0.49034175334323	1.96136701337295	1.47102526002972	0.300271773818146	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	0.5	hr	NA	1.79791976225854	2.94205052005942	1.14413075780088	0.233544712969667	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	0.75	hr	NA	8.33580980683507	17.3254086181278	8.98959881129273	1.83499417333312	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	1.0	hr	NA	19.777117384844	38.5735512630015	18.7964338781575	3.83680599878742	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	1.5	hr	NA	36.9390787518574	61.1292719167905	24.1901931649331	4.93780250278728	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	2.0	hr	NA	52.9569093610698	82.704309063893	29.7473997028232	6.0721625372114	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	2.5	hr	NA	60.4754829123328	90.222882615156	29.7473997028232	6.0721625372114	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	3.0	hr	NA	69.7919762258544	97.5780089153046	27.7860326894502	5.67180017212053	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	3.5	hr	NA	68.8112927191679	95.9435364041605	27.1322436849926	5.53834605042359	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	4.0	hr	NA	68.4843982169391	93.6552748885587	25.1708766716196	5.13798368533272	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	5.0	hr	NA	67.1768202080238	93.3283803863299	26.1515601783061	5.33816486787815	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	6.0	hr	NA	57.0430906389302	80.2526002971768	23.2095096582466	4.73762132024185	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	8.0	hr	NA	43.4769687964339	58.3506686478455	14.8736998514116	3.0360812686057	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	10.0	hr	NA	32.3625557206538	43.4769687964339	11.1144130757801	2.26872006884822	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	12.0	hr	NA	26.4784546805349	37.2659732540862	10.7875185735513	2.20199300799974	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	16.0	hr	NA	16.8350668647845	25.8246656760773	8.9895988112928	1.83499417333313	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	24.0	hr	NA	11.2778603268945	15.037147102526	3.7592867756315	0.767361199757484	ng/ml	NA
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_ENA20	36.0	hr	NA	7.84546805349183	11.1144130757801	3.26894502228827	0.66727060848477	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	0.0	hr	NA	0.0	1.14413075780088	1.14413075780088	0.233544712969667	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	0.25	hr	NA	0.16344725111442	1.79791976225854	1.63447251114412	0.333635304242382	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	0.5	hr	NA	0.81723625557207	6.86478454680535	6.04754829123328	1.23445062569682	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	0.75	hr	NA	7.35512630014858	17.1619613670134	9.80683506686482	2.00181182545431	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	1.0	hr	NA	18.6329866270431	19.777117384844	1.1441307578009	0.233544712969671	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	1.5	hr	NA	37.9197622585438	62.2734026745914	24.3536404160476	4.97116603321154	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	2.0	hr	NA	50.6686478454681	76.9836552748886	26.3150074294205	5.37152839830239	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	2.5	hr	NA	62.927191679049	92.8380386329866	29.9108469539376	6.10552606763563	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	3.0	hr	NA	70.6092124814265	104.44279346211	33.8335809806835	6.90625079781736	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	3.5	hr	NA	69.7919762258544	100.683506686478	30.8915304606236	6.30570725018097	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	4.0	hr	NA	68.3209509658247	96.4338781575037	28.112927191679	5.738527232969	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	5.0	hr	NA	66.3595839524517	89.8959881129272	23.5364041604755	4.80434838109034	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	6.0	hr	NA	56.2258543833581	75.18573551263	18.9598811292719	3.87016952921166	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	8.0	hr	NA	42.332838038633	56.3893016344725	14.0564635958395	2.8692636164845	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	10.0	hr	NA	32.852897473997	45.6017830609212	12.7488855869242	2.60235537309059	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	12.0	hr	NA	22.7191679049034	34.4873699851412	11.7682020802378	2.40217419054518	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	16.0	hr	NA	14.2199108469539	21.9019316493313	7.6820208023774	1.5680859299392	ng/ml	NA
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	concentration	enalaprilat	plasma	GC/MS	enalaprilat_REF20	24.0	hr	NA	8.33580980683507	10.4606240713224	2.12481426448733	0.433725895515092	ng/ml	NA
