study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	geometric_mean	median	mean	mean_pm	sd	se	min	max	unit	comments
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	auc_inf	hydrochlorothiazide	plasma	GC/MS	NA	NA	NA	NA	566.0	574.4	589.9	NA	170.7	34.8439915910907	279.5	968.7	ng/ml*hr	how to encode geometric means
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	auc_end	hydrochlorothiazide	plasma	GC/MS	NA	36.0	hr	NA	516.2	516.5	541.0	NA	167.3	34.1499694973021	247.0	912.6	ng/ml*hr	how to encode geometric means
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	cmax	hydrochlorothiazide	plasma	GC/MS	NA	NA	NA	NA	81.4	82.4	86.0	NA	27.7	5.6542388229245	37.3	137.0	ng/ml	how to encode geometric means
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	tmax	hydrochlorothiazide	plasma	GC/MS	NA	NA	NA	NA	1.8	2.0	1.9	NA	0.6	0.122474487139159	1.0	2.7	hr	how to encode geometric means
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	thalf	hydrochlorothiazide	plasma	GC/MS	NA	NA	NA	NA	5.0	4.9	5.0	NA	1.0	0.204124145231932	3.5	7.4	hr	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	auc_inf	hydrochlorothiazide	plasma	GC/MS	NA	NA	NA	NA	574.7	544.7	607.6	NA	223.6	45.6421588738599	280.1	1205.0	ng/ml*hr	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	auc_end	hydrochlorothiazide	plasma	GC/MS	NA	36.0	hr	NA	522.1	490.1	555.9	NA	218.0	44.4990636605611	239.4	1147.5	ng/ml*hr	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	cmax	hydrochlorothiazide	plasma	GC/MS	NA	NA	NA	NA	76.7	72.3	80.7	NA	26.5	5.40928984864619	38.3	137.0	ng/ml	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	tmax	hydrochlorothiazide	plasma	GC/MS	NA	NA	NA	NA	2.0	2.0	2.2	NA	0.9	0.183711730708738	1.0	4.0	hr	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	thalf	hydrochlorothiazide	plasma	GC/MS	NA	NA	NA	NA	5.1	5.1	5.2	NA	1.2	0.244948974278318	3.2	7.5	hr	how to encode geometric means
