study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	0.0	hr	NA	2.08769390533274	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	1.0	hr	NA	147.823794329866	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	2.0	hr	NA	180.407961216243	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	3.0	hr	NA	120.300670967603	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	4.0	hr	NA	97.7707948840737	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	6.0	hr	NA	61.0596660765882	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	8.0	hr	NA	38.5448558253654	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	12.0	hr	NA	26.9204900700023	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	24.0	hr	NA	16.2624898440148	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ25	concentration	hydrochlorothiazide	plasma	HPLC	hctz25	48.0	hr	NA	0.802793635761986	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	1.0	hr	NA	16.3012305556601	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	2.0	hr	NA	71.0149528385642	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	3.0	hr	NA	85.6449521390791	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	4.0	hr	NA	76.8938558307461	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	6.0	hr	NA	41.4353433664602	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	8.0	hr	NA	28.5250012106472	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	12.0	hr	NA	17.7357130174171	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	24.0	hr	NA	6.24263522929655	NA	NA	NA	ng/ml	NA
Azumaya1990	NA	all	20.0	HCTZ12.5	concentration	hydrochlorothiazide	plasma	HPLC	hctz12.5	48.0	hr	NA	0.802793635761958	NA	NA	NA	ng/ml	NA
