study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Beermann1977a	NA	all	8.0	Placebo	urinary volume	h2o	urine	NR	0_urinvol	0.0	hr	NA	0.0	0.0	0.0	NA	ml	NA
Beermann1977a	NA	all	8.0	Placebo	urinary volume	h2o	urine	NR	0_urinvol	10.0	hr	NA	1208.0	1492.0	284.0	NA	ml	NA
Beermann1977a	NA	all	8.0	HCTZ12_5	urinary volume	h2o	urine	NR	12_5_urinvol	0.0	hr	NA	0.0	0.0	0.0	NA	ml	NA
Beermann1977a	NA	all	8.0	HCTZ12_5	urinary volume	h2o	urine	NR	12_5_urinvol	10.0	hr	NA	2009.0	2329.0	320.0	NA	ml	NA
Beermann1977a	NA	all	8.0	HCTZ25	urinary volume	h2o	urine	NR	25_urinvol	0.0	hr	NA	0.0	0.0	0.0	NA	ml	NA
Beermann1977a	NA	all	8.0	HCTZ25	urinary volume	h2o	urine	NR	25_urinvol	10.0	hr	NA	2005.0	2384.0	379.0	NA	ml	NA
Beermann1977a	NA	all	8.0	HCTZ50	urinary volume	h2o	urine	NR	50_urinvol	0.0	hr	NA	0.0	0.0	0.0	NA	ml	NA
Beermann1977a	NA	all	8.0	HCTZ50	urinary volume	h2o	urine	NR	50_urinvol	10.0	hr	NA	1962.0	2353.0	391.0	NA	ml	NA
Beermann1977a	NA	all	8.0	HCTZ75	urinary volume	h2o	urine	NR	75_urinvol	0.0	hr	NA	0.0	0.0	0.0	NA	ml	NA
Beermann1977a	NA	all	8.0	HCTZ75	urinary volume	h2o	urine	NR	75_urinvol	10.0	hr	NA	2040.0	2480.0	440.0	NA	ml	NA
Beermann1977a	NA	all	8.0	Placebo	cumulative amount	sodium	urine	flame photometry	0_aurine_na	0.0	hr	NA	0.0	0.0	0.0	NA	mmol	NA
Beermann1977a	NA	all	8.0	Placebo	cumulative amount	sodium	urine	flame photometry	0_aurine_na	10.0	hr	NA	36.9	0.0	14.0	NA	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ12_5	cumulative amount	sodium	urine	flame photometry	12_5_aurine_na	0.0	hr	NA	0.0	0.0	0.0	NA	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ12_5	cumulative amount	sodium	urine	flame photometry	12_5_aurine_na	10.0	hr	NA	136.7	159.6	22.9	NA	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ25	cumulative amount	sodium	urine	flame photometry	25_aurine_na	0.0	hr	NA	0.0	0.0	0.0	NA	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ25	cumulative amount	sodium	urine	flame photometry	25_aurine_na	10.0	hr	NA	144.6	186.0	41.4	NA	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ50	cumulative amount	sodium	urine	flame photometry	50_aurine_na	0.0	hr	NA	0.0	0.0	0.0	NA	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ50	cumulative amount	sodium	urine	flame photometry	50_aurine_na	10.0	hr	NA	160.1	178.6	18.5	NA	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ75	cumulative amount	sodium	urine	flame photometry	75_aurine_na	0.0	hr	NA	0.0	0.0	0.0	NA	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ75	cumulative amount	sodium	urine	flame photometry	75_aurine_na	10.0	hr	NA	157.4	207.4	50.0	NA	mmol	NA
Beermann1977a	NA	all	8.0	Placebo	cumulative amount	potassium	urine	flame photometry	0_aurine_k	0.0	hr	NA	0.0	0.0	0.0	NA	mmol	NA
Beermann1977a	NA	all	8.0	Placebo	cumulative amount	potassium	urine	flame photometry	0_aurine_k	10.0	hr	NA	29.5	37.2	7.7	NA	mmol	NA
