study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	0.361216730038022	hr	NA	16.9646487183346	24.2466350228158	17.837150759914273	7.281986304481197	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	0.779467680608365	hr	NA	43.8274278129519	58.7801734205805	36.62659699233247	14.9527456076286	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	1.0	hr	NA	64.5061430036133	87.3645915806732	55.99153532544496	22.858448577059903	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	1.5	hr	NA	61.4261923036435	42.7683251419788	45.70225423470876	18.657867161664697	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	2.0	hr	NA	53.8251686245702	45.354378395364	20.749113779708555	8.470790229206202	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	3.0	hr	NA	51.7591833024766	44.9127578020147	16.770249038110602	6.846425500461898	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	4.0	hr	NA	36.9300421330541	34.1494595679177	6.811008472263347	2.780582565136399	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	5.0	hr	NA	29.200608334656	23.3159701805615	14.41436079844501	5.8846381540945	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	6.0	hr	NA	22.7525329101848	18.2564398777945	11.01313376543896	4.496093032390302	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	8.0	hr	NA	15.6107638950018	12.4648124210367	7.705975866771128	3.1459514739650984	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	24.0	hr	NA	3.24623568539246	2.22727812469207	2.4959260932669727	1.01895756070039	ng/ml	NA
Jordo1979	NA	all	6	HCTZ12.5	concentration	hydrochlorothiazide	plasma	G-L C	hctz12_5	25.0	hr	NA	2.98716582191428	2.04952743262483	2.2967356170042477	0.9376383892894498	ng/ml	NA
