study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	0	hr	122.401398798956	NA	NA	NA	NA	mmol	Zeiss automatic electrolyte analyzer FL6 assumed to be flame photometry
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	1	hr	127.400463466684	NA	NA	NA	NA	mmol	a healthy subject, no exact subject number reported, assumed subject 20
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	2	hr	134.266756763979	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	3	hr	155.800205391331	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	4	hr	199.999618231725	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	5	hr	219.399745742329	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	6	hr	241.733189788462	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	7	hr	288.333161537609	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	8	hr	305.333302791871	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	9	hr	325.266760581662	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	10	hr	346.800209209014	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	11	hr	365.933098927612	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	12	hr	378.399360156372	NA	NA	NA	NA	mmol	NA
Knauf1995	20	NA	1	HCTZ25	cumulative amount	sodium	urine	flame photometry	na_urine_healthy	24	hr	419.865693921103	NA	NA	NA	NA	mmol	NA
