study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Patel1984	NA	all	12.0	HCTZ25_tab	cumulative amount (change)	sodium	urine	potentiometry	increase_Naurine_HCTZ25_tab	12.0	hr	NA	102.0	NA	64.0	18.475208614068027	mmol	NA
Patel1984	NA	all	12.0	HCTZ25_tab	cumulative amount (change)	potassium	urine	potentiometry	increase_Kurine_HCTZ25_tab	12.0	hr	NA	20.2	NA	17.9	5.167284909247151	mmol	NA
Patel1984	NA	all	12.0	HCTZ25_tab	cumulative amount (change)	chloride	urine	potentiometry	increase_Clurine_HCTZ25_tab	12.0	hr	NA	136.0	NA	71.0	20.495934556231717	mmol	NA
Patel1984	NA	all	12.0	HCTZ50_tab	cumulative amount (change)	sodium	urine	potentiometry	increase_Naurine_HCTZ50_tab	12.0	hr	NA	93.0	NA	62.0	17.8978583448784	mmol	NA
Patel1984	NA	all	12.0	HCTZ50_tab	cumulative amount (change)	potassium	urine	potentiometry	increase_Kurine_HCTZ50_tab	12.0	hr	NA	23.0	NA	12.5	3.6084391824351614	mmol	NA
Patel1984	NA	all	12.0	HCTZ50_tab	cumulative amount (change)	chloride	urine	potentiometry	increase_Clurine_HCTZ50_tab	12.0	hr	NA	132.0	NA	66.0	19.05255888325765	mmol	NA
Patel1984	NA	all	12.0	HCTZ100_tab	cumulative amount (change)	sodium	urine	potentiometry	increase_Naurine_HCTZ100_tab	12.0	hr	NA	109.0	NA	76.0	21.93931022920578	mmol	NA
Patel1984	NA	all	12.0	HCTZ100_tab	cumulative amount (change)	potassium	urine	potentiometry	increase_Kurine_HCTZ100_tab	12.0	hr	NA	15.2	NA	20.3	5.8601052322747025	mmol	NA
Patel1984	NA	all	12.0	HCTZ100_tab	cumulative amount (change)	chloride	urine	potentiometry	increase_Clurine_HCTZ100_tab	12.0	hr	NA	142.0	NA	85.0	24.537386440559096	mmol	NA
Patel1984	NA	all	12.0	HCTZ25_sus	cumulative amount (change)	sodium	urine	potentiometry	increase_Naurine_HCTZ25_sus	12.0	hr	NA	103.0	NA	57.0	16.454482671904334	mmol	NA
