study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Ripley2000	NA	black	9.0	Baseline	cumulative amount	sodium	urine	NR	sodium_baseline_black	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	black	9.0	Baseline	cumulative amount	sodium	urine	NR	sodium_baseline_black	24.0	hr	NA	118.721461187214	169.86301369863	51.141552511415995	17.047184170471997	mmol	NA
Ripley2000	NA	white	9.0	Baseline	cumulative amount	sodium	urine	NR	sodium_baseline_white	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	white	9.0	Baseline	cumulative amount	sodium	urine	NR	sodium_baseline_white	24.0	hr	NA	142.465753424657	191.780821917808	49.31506849315099	16.438356164383663	mmol	NA
Ripley2000	NA	black	9.0	Diet	cumulative amount	sodium	urine	NR	sodium_diet_black	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	black	9.0	Diet	cumulative amount	sodium	urine	NR	sodium_diet_black	24.0	hr	NA	126.027397260274	168.036529680365	42.00913242009099	14.003044140030331	mmol	NA
Ripley2000	NA	white	9.0	Diet	cumulative amount	sodium	urine	NR	sodium_diet_white	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	white	9.0	Diet	cumulative amount	sodium	urine	NR	sodium_diet_white	24.0	hr	NA	120.547945205479	140.639269406392	20.091324200913007	6.697108066971002	mmol	NA
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	sodium	urine	NR	sodium_hctz_black	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	sodium	urine	NR	sodium_hctz_black	12.0	hr	NA	206.72268907563	249.579831932773	42.857142857143	14.285714285714334	mmol	von Fig2
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	sodium	urine	NR	sodium_hctz_black	24.0	hr	NA	272.146118721461	319.634703196347	47.48858447488601	15.829528158295338	mmol	NA
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	sodium	urine	NR	sodium_hctz_black	36.0	hr	NA	335.2941176470584	370.58823529411717	35.2941176470588	11.764705882352933	mmol	von Fig2
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	sodium	urine	NR	sodium_hctz_white	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	sodium	urine	NR	sodium_hctz_white	12.0	hr	NA	204.201680672268	234.453781512605	30.252100840336993	10.084033613445664	mmol	von Fig2
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	sodium	urine	NR	sodium_hctz_white	24.0	hr	NA	263.013698630136	297.716894977169	34.703196347032986	11.567732115677662	mmol	NA
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	sodium	urine	NR	sodium_hctz_white	36.0	hr	NA	299.9999999999988	317.6470588235283	17.647058823529505	5.882352941176502	mmol	von Fig2
Ripley2000	NA	black	9.0	Baseline	cumulative amount	potassium	urine	NR	pot_baseline_black	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	black	9.0	Baseline	cumulative amount	potassium	urine	NR	pot_baseline_black	24.0	hr	NA	43.4408602150537	52.0430107526881	8.602150537634394	2.867383512544798	mmol	NA
Ripley2000	NA	white	9.0	Baseline	cumulative amount	potassium	urine	NR	pot_baseline_white	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	white	9.0	Baseline	cumulative amount	potassium	urine	NR	pot_baseline_white	24.0	hr	NA	52.9032258064515	64.0860215053763	11.182795698924792	3.7275985663082642	mmol	NA
Ripley2000	NA	black	9.0	Diet	cumulative amount	potassium	urine	NR	pot_diet_black	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	black	9.0	Diet	cumulative amount	potassium	urine	NR	pot_diet_black	24.0	hr	NA	45.1612903225806	65.3763440860214	20.215053763440807	6.738351254480269	mmol	NA
Ripley2000	NA	white	9.0	Diet	cumulative amount	potassium	urine	NR	pot_diet_white	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	white	9.0	Diet	cumulative amount	potassium	urine	NR	pot_diet_white	24.0	hr	NA	57.6344086021505	66.2365591397849	8.602150537634401	2.8673835125448	mmol	NA
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	potassium	urine	NR	pot_hctz_black	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	potassium	urine	NR	pot_hctz_black	12.0	hr	NA	42.5531914893617	51.9148936170212	9.361702127659498	3.1205673758864996	mmol	von Fig2
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	potassium	urine	NR	pot_hctz_black	24.0	hr	NA	67.0967741935483	81.2903225806451	14.193548387096797	4.731182795698932	mmol	NA
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	potassium	urine	NR	pot_hctz_black	36.0	hr	NA	97.0212765957445	105.5319148936169	8.5106382978724	2.8368794326241336	mmol	von Fig2
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	potassium	urine	NR	pot_hctz_white	0.0	hr	NA	0.0	0.0	0.0	0.0	mmol	NA
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	potassium	urine	NR	pot_hctz_white	12.0	hr	NA	61.2765957446808	68.0851063829787	6.808510638297896	2.269503546099299	mmol	von Fig2
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	potassium	urine	NR	pot_hctz_white	24.0	hr	NA	87.3118279569892	101.075268817204	13.7634408602148	4.5878136200716	mmol	NA
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	potassium	urine	NR	pot_hctz_white	36.0	hr	NA	117.8723404255318	123.8297872340424	5.9574468085106	1.9858156028368665	mmol	von Fig2
