study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	se	unit	comments
Williams1982	all	10.0	HCTZ50	auc_end	hydrochlorothiazide	plasma	HPLC	NA	8.0	hr	1.1	NA	0.16	NA	mg/l*hr	NA
Williams1982	all	10.0	HCTZ50	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	229.0	NA	53.0	NA	ng/ml	NA
Williams1982	all	10.0	HCTZ50	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.33	NA	1.7	NA	hr	NA
Williams1982	all	10.0	HCTZ50	recovery	hydrochlorothiazide	urine	HPLC	NA	24.0	hr	63.1	NA	9.0	NA	percent	NA
Williams1982	all	10.0	HCTZ50	clearance_renal	hydrochlorothiazide	urine	HPLC	NA	NA	NA	355.0	NA	60.0	NA	ml/min	NA
Williams1982	all	10.0	HCTZ100	auc_end	hydrochlorothiazide	plasma	HPLC	NA	8.0	hr	2.05	NA	0.41	NA	mg/l*hr	NA
Williams1982	all	10.0	HCTZ100	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	432.0	NA	125.0	NA	ng/ml	NA
Williams1982	all	10.0	HCTZ100	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.41	NA	1.4	NA	hr	NA
Williams1982	all	10.0	HCTZ100	recovery	hydrochlorothiazide	urine	HPLC	NA	24.0	hr	53.7	NA	7.5	NA	percent	NA
Williams1982	all	10.0	HCTZ100	clearance_renal	hydrochlorothiazide	urine	HPLC	NA	NA	NA	315.0	NA	75.0	NA	ml/min	NA
Williams1982	all	10.0	HCTZ50, IND25	auc_end	hydrochlorothiazide	plasma	HPLC	NA	8.0	hr	1.04	NA	0.22	NA	mg/l*hr	NA
Williams1982	all	10.0	HCTZ50, IND25	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	230.0	NA	65.0	NA	ng/ml	NA
Williams1982	all	10.0	HCTZ50, IND25	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.15	NA	1.1	NA	hr	NA
Williams1982	all	10.0	HCTZ50, IND25	recovery	hydrochlorothiazide	urine	HPLC	NA	24.0	hr	56.9	NA	7.5	NA	percent	NA
Williams1982	all	10.0	HCTZ50, IND25	clearance_renal	hydrochlorothiazide	urine	HPLC	NA	NA	NA	337.0	NA	58.0	NA	ml/min	NA
Williams1982	all	10.0	HCTZ100, IND25	auc_end	hydrochlorothiazide	plasma	HPLC	NA	8.0	hr	1.96	NA	0.35	NA	mg/l*hr	NA
Williams1982	all	10.0	HCTZ100, IND25	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	454.0	NA	130.0	NA	ng/ml	NA
Williams1982	all	10.0	HCTZ100, IND25	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	1.47	NA	0.6	NA	hr	NA
Williams1982	all	10.0	HCTZ100, IND25	recovery	hydrochlorothiazide	urine	HPLC	NA	24.0	hr	51.8	NA	7.9	NA	percent	NA
Williams1982	all	10.0	HCTZ100, IND25	clearance_renal	hydrochlorothiazide	urine	HPLC	NA	NA	NA	327.0	NA	58.0	NA	ml/min	NA
