,author,keywords,pmc,pmid,prob,pubdate,title
0,A Roux; A Le Liboux; B Delhotal; J Gaillot; B Flouvat,,,6884417,0.9996674060821533,1983,Pharmacokinetics in man of acebutolol and hydrochlorothiazide as single agents and in combination.
1,IS Sketris; VA Skoutakis; SR Acchiardo; MC Meyer,,,7286056,0.9992850422859192,1981,The pharmacokinetics of trichlormethiazide in hypertensive patients with normal and compromised renal function.
2,J Liu; L Wu; X Hu; G Wu; Y Zheng; H Zhou; Y Zhai; M Zhu; J ShenTu,,,25828636,0.9992386102676392,2015,Pharmacokinetic properties and bioequivalence of two irbesartan/ hydrochlorothiazide fixed-dose combination tablets in healthy male Chinese volunteers.
3,GC Maggi; C Donati; D Gueli Alletti,,,4026929,0.9991317391395569,1985,Single-dose pharmacokinetics of fenquizone in healthy volunteers.
4,B Breithaupt; M Tittel,,,7094977,0.998842179775238,1982,Kinetics of allopurinol after single intravenous and oral doses. Noninteraction with benzbromarone and hydrochlorothiazide.
5,D Devineni; N Vaccaro; D Polidori; S Rusch; E Wajs,canagliflozin; diuretic; drug–drug interaction; hydrochlorothiazide; pharmacodynamics; pharmacokinetics; sodium glucose co-transporter 2 (SGLT2) inhibitor; type 2 diabetes mellitus,,24726680,0.9987442493438721,2014,"Effects of hydrochlorothiazide on the pharmacokinetics, pharmacodynamics, and tolerability of canagliflozin, a sodium glucose co-transporter 2 inhibitor, in healthy participants."
6,SJ Weir; DC Dimmitt; RC Lanman; MB Morrill; DH Geising,,,9737817,0.9987187385559082,1998,Steady-state pharmacokinetics of diltiazem and hydrochlorothiazide administered alone and in combination.
7,W Mühlberg; H Spahn; D Platt; E Mutschler; R Jung,,,2712651,0.9984009861946106,1989,Pharmacokinetics of triamterene in geriatric patients--influence of piretanide and hydrochlorothiazide.
8,W Krause; C Lennert,,,6689277,0.9983121156692505,1983,Pharmacokinetics of mepindolol administered alone and in combination with hydrochlorothiazide--a bioequivalence study.
9,K Weisser; J Schloos; S Jakob; W Mühlberg; D Platt; E Mutschler,,,1330574,0.9982935786247253,1992,The influence of hydrochlorothiazide on the pharmacokinetics of enalapril in elderly patients.
10,V Hutt; K Michaelis; R Verbesselt; PJ De Schepper; P Salomon; R Bonn; W Cawello; JC Angehrn,,,9010710,0.9980334639549255,1996,Lack of a pharmacokinetic interaction between moexipril and hydrochlorothiazide.
11,SE Shoaf; SL Bramer; P Bricmont; CA Zimmer,,,17703139,0.9980015158653259,2007,"Pharmacokinetic and pharmacodynamic interaction between tolvaptan, a non-peptide AVP antagonist, and furosemide or hydrochlorothiazide."
12,AJ Swaisland,,,1665181,0.9979682564735413,1991,The pharmacokinetics of co-administered lisinopril and hydrochlorothiazide.
13,Y Cui; Q Li; M Zhang; Z Liu; W Yin; W Liu; X Chen; K Bi,,,21069958,0.9977679252624512,2010,LC-MS determination and pharmacokinetics of p-coumaric acid in rat plasma after oral administration of p-coumaric acid and freeze-dried red wine.
