study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	0.0	hr		17.08	18.23	5.14295634824953	1.15		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	0.5	hr		17.15	18.38	5.50072722464949	1.23		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	1.0	hr		17.92	18.85	4.15908643814961	0.93		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	2.0	hr		18.62	19.77	5.14295634824951	1.15		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	3.0	hr		19.77	21.0	5.50072722464949	1.23		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	4.0	hr		19.69	20.85	5.18767770779951	1.16		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	6.0	hr		22.08	22.92	3.75659420219966	0.840000000000003		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	8.0	hr		24.23	25.38	5.14295634824951	1.15		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	10.0	hr		23.31	24.69	6.17154761789943	1.38		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	12.0	hr		21.92	23.23	5.85849810104944	1.31		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	16.0	hr		19.31	20.38	4.78518547184955	1.07		ng/ml	ng/ml
Vaidyanathan2006		amlodipine	20.0	AML10	concentration	amlodipine	plasma	LC MS/MS	amlodipine_AML10	24.0	hr		16.85	18.0	5.14295634824951	1.15		ng/ml	ng/ml
